15,Clint Capela,PF,10-Jun,256,30,Atlanta Hawks,10,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
8,Bub Carrington,G,4-Jun,190,19,Washington Wizards,0,Pittsburgh,2024 Rnd 1 Pick 14,United States
22,Devin Carter,G,2-Jun,195,22,Sacramento Kings,0,Providence,2024 Rnd 1 Pick 13,United States
5,Jevon Carter,PG,1-Jun,200,29,Chicago Bulls,6,West Virginia,2018 Rnd 2 Pick 2,United States
34,"Wendell Carter, Jr.",PF,10-Jun,270,25,Orlando Magic,6,Duke,2018 Rnd 1 Pick 7,United States
3,D.J. Carton,PG,3-Jun,200,24,Toronto Raptors,1,Marquette,"2021 NBA Draft, Undrafted",United States
9,Alex Caruso,G,5-Jun,186,30,Oklahoma City Thunder,7,Texas A&M,"2016 NBA Draft, Undrafted",United States
5,Stephon Castle,G,6-Jun,215,19,San Antonio Spurs,0,UConn,2024 Rnd 1 Pick 4,United States
30,Julian Champagnie,F,7-Jun,217,23,San Antonio Spurs,2,St. John's,"2022 NBA Draft, Undrafted",United States
9,Justin Champagnie,F,6-Jun,206,23,Washington Wizards,3,Pittsburgh,"2021 NBA Draft, Undrafted",United States
22,Ulrich Chomche,PF,11-Jun,235,20,Toronto Raptors,0,NBA Academy Africa (Senegal),2024 Rnd 2 Pick 27,Cameroon
12,Cameron Christie,SG,6-Jun,190,19,Los Angeles Clippers,0,Minnesota,2024 Rnd 2 Pick 16,United States
12,Max Christie,F,5-Jun,190,21,Los Angeles Lakers,2,Michigan State,2022 Rnd 2 Pick 5,United States
8,Josh Christopher,G,4-Jun,215,22,Miami Heat,3,Arizona State,2021 Rnd 1 Pick 24,United States
25,Sidy Cissoko,GF,6-Jun,200,20,San Antonio Spurs,1,NBA G League Ignite,2023 Rnd 2 Pick 14,France
22,Jaylen Clark,G,4-Jun,205,23,Minnesota Timberwolves,1,UCLA,2023 Rnd 2 Pick 23,United States
15,Brandon Clarke,PF,8-Jun,215,28,Memphis Grizzlies,5,Gonzaga,2019 Rnd 1 Pick 21,Canada
0,Jordan Clarkson,G,3-Jun,194,32,Utah Jazz,10,Missouri,2014 Rnd 2 Pick 16,United StatesPhilippines
33,Nicolas Claxton,C,11-Jun,215,25,Brooklyn Nets,5,Georgia,2019 Rnd 2 Pick 1,United StatesU.S. Virgin Islands
23,Donovan Clingan,C,2-Jul,280,20,Portland Trail Blazers,0,UConn,2024 Rnd 1 Pick 7,United States
21,Noah Clowney,F,9-Jun,210,20,Brooklyn Nets,1,Alabama,2023 Rnd 1 Pick 21,United States
7,Amir Coffey,SF,7-Jun,210,27,Los Angeles Clippers,5,Minnesota,"2019 NBA Draft, Undrafted",United States
13,Isaiah Collier,G,3-Jun,210,20,Utah Jazz,0,USC,2024 Rnd 1 Pick 29,United States
20,John Collins,PF,9-Jun,226,27,Utah Jazz,7,Wake Forest,2017 Rnd 1 Pick 19,United States
23,Zach Collins,C,11-Jun,250,26,San Antonio Spurs,7,Gonzaga,2017 Rnd 1 Pick 10,United States
10,Mike Conley,PG,Jun-00,175,37,Minnesota Timberwolves,17,Ohio State,2007 Rnd 1 Pick 4,United States
24,Pat Connaughton,SF,5-Jun,209,31,Milwaukee Bucks,9,Notre Dame,2015 Rnd 2 Pick 11,United States
0,Bilal Coulibaly,GF,8-Jun,195,20,Washington Wizards,1,Boulogne-Levallois (France),2023 Rnd 1 Pick 7,France
16,Ricky Council IV,G,6-Jun,207,23,Philadelphia Sixers,1,Arkansas,"2023 NBA Draft, Undrafted",United States
13,Torrey Craig,GF,5-Jun,221,33,Chicago Bulls,7,USC Upstate,"2014 NBA Draft, Undrafted",United States
24,Isaiah Crawford,GF,6-Jun,220,23,Sacramento Kings,0,Louisiana Tech,"2024 NBA Draft, Undrafted",United States
2,Cade Cunningham,SF,6-Jun,220,23,Detroit Pistons,3,Oklahoma State,2021 Rnd 1 Pick 1,United States
30,Seth Curry,G,1-Jun,185,34,Charlotte Hornets,11,Duke,"2013 NBA Draft, Undrafted",United States
30,Stephen Curry,G,2-Jun,185,36,Golden State Warriors,15,Davidson,2009 Rnd 1 Pick 7,United States
23,Tristan Da Silva,F,8-Jun,217,23,Orlando Magic,0,Colorado,2024 Rnd 1 Pick 18,GermanyBrazil
4,Pacome Dadiet,SF,8-Jun,210,19,New York Knicks,0,Ratiopharm Ulm (Germany),2024 Rnd 1 Pick 25,France
5,Dyson Daniels,GF,7-Jun,199,21,Atlanta Hawks,2,NBA G League Ignite,2022 Rnd 1 Pick 8,Australia
3,N'Faly Dante,PF,11-Jun,230,23,Houston Rockets,0,Oregon,"2024 NBA Draft, Undrafted",Mali
